Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Year
157,Quantum of Solace,589580482,168368427,0.2855732714028345,421212055,0.7144267285971655,2008
158,The Croods,587204668,187168425,0.3187447838885368,400036243,0.6812552161114632,2013
159,The Hangover Part II,586764305,254464305,0.43367379854505633,332300000,0.5663262014549436,2011
160,I Am Legend,585410052,256393010,0.4379716561477834,329017042,0.5620283438522166,2007
161,Iron Man,585366247,318604126,0.5442816828487209,266762121,0.45571831715127914,2008
162,Ready Player One,582890172,137690172,0.23621975221774713,445200000,0.7637802477822528,2018
163,Operation Red Sea,579330426,1543547,0.0026643637736368433,577786879,0.9973356362263631,2018
164,Night at the Museum,574480841,250863268,0.43667821465259277,323617573,0.5633217853474073,2006
165,Fifty Shades of Grey,569651467,166167230,0.2916998193212763,403484237,0.7083001806787237,2015
166,Kong: Skull Island,566652812,168052812,0.29657103686975084,398600000,0.7034289631302492,2017
167,The Smurfs,563749323,142614158,0.2529744199799243,421135165,0.7470255800200757,2011
168,Cars 2,559852396,191452396,0.3419694143811434,368400000,0.6580305856188566,2011
169,King Kong,556906378,218080025,0.3915918969776999,338826353,0.6084081030223001,2005
170,Puss in Boots,554987477,149260504,0.26894391348581725,405726973,0.7310560865141827,2011
171,The Mermaid,553810228,3232685,0.005837170995693492,550577543,0.9941628290043065,2016
172,The Day After Tomorrow,552639571,186740799,0.3379070352528194,365898772,0.6620929647471806,2004
173,Ted,549368315,218815487,0.398303799155217,330552828,0.6016962008447829,2012
174,American Sniper,547426372,350126372,0.639586234621521,197300000,0.3604137653784791,2014
175,Mission: Impossible II,546388108,215409889,0.3942433699527004,330978219,0.6057566300472996,2000
176,Detective Chinatown 2,544185156,1983984,0.0036457885301083076,542201172,0.9963542114698917,2018
177,X-Men: Apocalypse,543934105,155442489,0.285774485495812,388491616,0.7142255145041879,2016
178,Sherlock Holmes: A Game of Shadows,543848418,186848418,0.3435670893134785,357000000,0.6564329106865214,2011
179,Despicable Me,543113985,251513985,0.4630961307321151,291600000,0.5369038692678849,2010
180,Cinderella,542351353,201151353,0.3708875286976559,341200000,0.6291124713023442,2015
